Sentence,Label
Jed is not timid.,negation
Jonathan is not excited.,negation
Jonathan is not various.,negation
Harris is not timid.,negation
Rick is yellow.,fact
Luna is not rational.,fact
Luna is not open.,fact
Aubrey is open.,fact
Herbert is sane.,fact
Joe is sane.,fact
Joe is troubled.,fact
Luna is not troubled.,fact
Herbert is unhappy.,fact
Angus is troubled.,fact
Joe is open.,fact
Luna is yellow.,fact
It can be concluded that Aubrey is not sane and Hope is not rational once knowing that Herbert is troubled.,implication
"If all people are sane or not open, then Joe is not rational.",implication
Aubrey being not troubled or Aubrey being not rational implies that Herbert is not unhappy.,implication
"If there is at least one people who is both open and rational, then Hope is not troubled.",implication
"If there is someone who is not unhappy, then Angus is not troubled and Angus is not yellow.",implication
"If Rick is rational or Rick is unhappy, then Herbert is troubled.",implication
Someone who is not troubled is always sane.,implication
Someone who is not rational or not unhappy is always open and not yellow.,implication
"If there is someone who is either rational or sane, then Luna is not open.",implication
Herbert is not yellow.,negation
Herbert is not sane.,negation
Luna is not yellow.,negation
Rick is not yellow.,negation
Herbert is not unhappy.,negation
Luna is not open.,negation
Luna is not sane.,negation
Hope is not yellow.,negation
Luna is not troubled.,negation
Luna is not rational.,negation
Pierce is not crazy.,fact
Norman is breakable.,fact
Travis is not terrible.,fact
Alfred is terrible.,fact
Norman is crazy.,fact
Norman is difficult.,fact
Pierce is difficult.,fact
Kerry is cautious.,fact
Pierce is not cautious.,fact
Alfred is not breakable.,fact
Travis is not breakable.,fact
Kerry is careful.,fact
Norris being not cautious implies that Norman is not crazy.,implication
"If someone is not difficult or he is terrible, then he is cautious.",implication
Pierce being breakable implies that Norman is difficult.,implication
"If Travis is crazy, then Alfred is cautious and Pierce is not difficult.",implication
"As long as someone is either not difficult or breakable, he is terrible and not careful.",implication
"As long as someone is difficult, he is not crazy and breakable.",implication
"If there is at least one people who is not breakable, then Kerry is careful.",implication
"If Kerry is not careful and Alfred is cautious, then Pierce is not difficult.",implication
"If there is someone who is both crazy and terrible, then Alfred is careful.",implication
"If someone is not cautious, then he is crazy.",implication
"If someone is terrible or not cautious, then he is difficult.",implication
"If there is at least one people who is both not breakable and crazy, then Kerry is careful.",implication
Alfred is not breakable.,negation
Norman is not careful.,negation
Pierce is not cautious.,negation
Kerry is not breakable.,negation
Pierce is not breakable.,negation
Norman is not difficult.,negation
Alfred is not cautious.,negation
Pierce is not careful.,negation
Kerry is not cautious.,negation
Norman is not crazy.,negation
Travis is not terrible.,negation
Harley is big.,fact
Claudia is blue.,fact
Rufus is not better.,fact
Harley is not modern.,fact
Hunter is impossible.,fact
Harley is blue.,fact
Jesse is not blue.,fact
Hunter is not imaginative.,fact
Jesse is impossible.,fact
Colin is not big.,fact
Colin is not modern.,fact
Hunter is big.,fact
"If there is someone who is imaginative, then Harley is modern and Harley is blue.",implication
Someone who is impossible is always both imaginative and not modern.,implication
"If Rufus is not modern, then Hunter is not impossible.",implication
"If there is at least one people who is not blue, then Jesse is not impossible.",implication
"If someone is not imaginative or he is blue, then he is big.",implication
"If all people are not impossible or modern, then Jesse is blue.",implication
All big people are not modern.,implication
"As long as someone is not imaginative, he is big and modern.",implication
It can be concluded that Jesse is not blue once knowing that Jesse is not big and Hunter is not impossible.,implication
"If Rufus is blue and Rufus is big, then Rufus is impossible.",implication
Harley being big implies that Claudia is not better and Jesse is impossible.,implication
Jesse is not big.,negation
Colin is not better.,negation
Hunter is not imaginative.,negation
Jesse is not modern.,negation
Colin is not modern.,negation
Rufus is not imaginative.,negation
Lester is not imaginative.,negation
Claudia is not big.,negation
Hunter is not big.,negation
Claudia is not blue.,negation
Claudia is not better.,negation
Sean is not annoyed.,fact
Amos is outstanding.,fact
Adrian is tall.,fact
Sean is not unable.,fact
Amos is loyal.,fact
Sean is massive.,fact
Baldwin is annoyed.,fact
Adrian is not unable.,fact
Sean is tall.,fact
Richard is unable.,fact
Kayla is not tall.,fact
Baldwin is tall.,fact
"If someone is both not outstanding and not annoyed, then he is unable.",implication
"If there is someone who is both unable and not annoyed, then Amos is not loyal.",implication
"If Adrian is outstanding, then Amos is not massive and Richard is tall.",implication
"If Hunter is loyal, then Richard is not unable.",implication
Someone who is not annoyed is always both not outstanding and massive.,implication
"If there is at least one people who is loyal, then Hunter is massive and Richard is not unable.",implication
Someone who is both tall and not outstanding is always unable.,implication
"If everyone is not outstanding, then Kayla is not tall.",implication
"If there is someone who is massive, then Sean is not tall.",implication
Kayla is not massive.,negation
Hunter is not unable.,negation
Amos is not tall.,negation
Sean is not tall.,negation
Kayla is not outstanding.,negation
Sean is not loyal.,negation
Richard is not unable.,negation
Sean is not unable.,negation
Richard is not massive.,negation
Amos is not massive.,negation
Kayla is not loyal.,negation
Kingsley is wooden.,fact
Austin is not happy.,fact
Austin is not competitive.,fact
Amery is happy.,fact
Clive is not wooden.,fact
Kendrick is not popular.,fact
Austin is popular.,fact
Kendrick is wooden.,fact
Stewart is popular.,fact
Hall is popular.,fact
Clive is helpful.,fact
Amery is not competitive.,fact
"If there is at least one people who is competitive or not happy, then Stewart is helpful.",implication
Someone who is eithor talented or not wooden is always not competitive.,implication
"If Amery is not popular and Kendrick is not helpful, then Austin is wooden.",implication
"If all people are talented, then Austin is helpful.",implication
"If someone is competitive, then he is both popular and not talented.",implication
It can be concluded that Kendrick is talented once knowing that Kingsley is not helpful.,implication
Someone who is both not popular and competitive is always not happy.,implication
"If there is at least one people who is not competitive, then Kingsley is not wooden and Austin is talented.",implication
"If someone is not talented, then he is both happy and not competitive.",implication
Amery is not popular.,negation
Hall is not helpful.,negation
Hall is not popular.,negation
Kendrick is not popular.,negation
Kingsley is not wooden.,negation
Austin is not happy.,negation
Stewart is not popular.,negation
Hall is not competitive.,negation
Amery is not talented.,negation
Hall is not talented.,negation
Amery is not competitive.,negation
Brooke is not alive.,fact
Hamlin is not long.,fact
Chalmers is emotional.,fact
Chalmers is nice.,fact
Hamlin is emotional.,fact
Mark is alive.,fact
Mark is long.,fact
Alexander is long.,fact
Chalmers is not curious.,fact
Goddard is long.,fact
Alexander is not nice.,fact
Matthew is not nice.,fact
"If there is at least one people who is both not alive and not emotional, then Chalmers is long.",implication
"If Chalmers is not alive and Brooke is not emotional, then Brooke is curious.",implication
It can be concluded that Alexander is alive once knowing that Mark is long or Brooke is not nice.,implication
"If there is someone who is either not nice or not emotional, then Mark is not curious and Alexander is not alive.",implication
It can be concluded that Alexander is not long once knowing that Alexander is not alive and Matthew is not nice.,implication
"If someone is not long or not curious, then he is emotional.",implication
"If there is nobody who is not not nice, then Matthew is not long.",implication
All not emotional people are not alive.,implication
"If there is someone who is both not long and nice, then Mark is not emotional and Matthew is not curious.",implication
Brooke is not alive.,negation
Alexander is not curious.,negation
Mark is not emotional.,negation
Mark is not long.,negation
Alexander is not long.,negation
Hamlin is not emotional.,negation
Alexander is not breakable.,negation
Matthew is not breakable.,negation
Alexander is not nice.,negation
Goddard is not long.,negation
Chalmers is not curious.,negation
Kathryn is cooperative.,fact
Gemma is useful.,fact
Gemma is not political.,fact
Gemma is tough.,fact
Kathryn is not tough.,fact
Lee is dark.,fact
Lee is not cooperative.,fact
Solomon is not useful.,fact
Gemma is not practical.,fact
Solomon is practical.,fact
Lee is practical.,fact
Boris is not tough.,fact
Kathryn being cooperative or Solomon being political implies that Solomon is not dark.,implication
"If everyone is practical, then Roswell is useful and Roswell is not political.",implication
"If there is at least one people who is both not practical and not tough, then Arvel is not political.",implication
Someone who is not dark is always not practical.,implication
"If someone is either not practical or not dark, then he is useful and political.",implication
It can be concluded that Roswell is tough and Roswell is practical once knowing that Lee is useful.,implication
Solomon being dark and Gemma being useful imply that Arvel is not practical.,implication
"If there is someone who is dark, then Arvel is not useful.",implication
Kathryn being not dark implies that Solomon is tough.,implication
Lee is not cooperative.,negation
Solomon is not political.,negation
Gemma is not tough.,negation
Kathryn is not cooperative.,negation
Gemma is not dark.,negation
Gemma is not useful.,negation
Quillan is not plucky.,fact
Richard is not enchanting.,fact
Roland is humble.,fact
Philbert is enchanting.,fact
Quillan is not humble.,fact
Richard is plucky.,fact
Quillan is not naughty.,fact
Kent is not serious.,fact
Richard is smoggy.,fact
Orlando is not humble.,fact
Philbert is not serious.,fact
Kathryn is not enchanting.,fact
Kent being humble and Richard being not naughty imply that Richard is enchanting.,implication
"If all people are not naughty, then Quillan is not serious and Orlando is plucky.",implication
Someone who is not plucky or serious is always naughty and not humble.,implication
Quillan being smoggy and Orlando being naughty imply that Orlando is humble.,implication
"If there is someone who is either smoggy or not humble, then Orlando is not serious.",implication
It can be concluded that Quillan is plucky once knowing that Philbert is not enchanting and Philbert is not serious.,implication
All not smoggy people are not naughty.,implication
It can be concluded that Quillan is not naughty and Richard is not humble once knowing that Richard is not serious.,implication
Someone who is not serious is always not plucky.,implication
Philbert is not enchanting.,negation
Richard is not plucky.,negation
Kent is not enchanting.,negation
Quillan is not naughty.,negation
Richard is not naughty.,negation
Kent is not serious.,negation
Roland is not plucky.,negation
Quillan is not smoggy.,negation
Kathryn is not plucky.,negation
Garth is angry.,fact
Roland is wild.,fact
Hadden is not red.,fact
Philbert is angry.,fact
Everett is wild.,fact
Uriah is red.,fact
Garth is red.,fact
Garth is not wild.,fact
Philbert is not wild.,fact
Sterling is electronic.,fact
Everett is angry.,fact
Sterling is not angry.,fact
It can be concluded that Hadden is red once knowing that Philbert is not alive or Sterling is not electronic.,implication
"If there is at least one people who is not wild, then Philbert is obedient and Garth is not electronic.",implication
"If Hadden is not obedient, then Sterling is angry and Sterling is not electronic.",implication
Someone who is eithor not angry or electronic is always wild.,implication
All electronic people are wild.,implication
Hadden being obedient implies that Sterling is not red.,implication
"If someone is not wild or not electronic, then he is not angry.",implication
"If there is someone who is obedient, then Sterling is wild.",implication
Garth is not wild.,negation
Everett is not wild.,negation
Hadden is not alive.,negation
Everett is not angry.,negation
Hadden is not red.,negation
Garth is not red.,negation
Philbert is not wild.,negation
Philbert is not alive.,negation
Roland is not obedient.,negation
Uriah is not angry.,negation
Lauren is steep.,fact
Lauren is not thoughtless.,fact
Kane is not thankful.,fact
Trevor is thankful.,fact
Trevor is impressive.,fact
Sheridan is orange.,fact
Keene is not orange.,fact
Cedric is not ancient.,fact
Trevor is not ancient.,fact
Shawn is thoughtless.,fact
Sheridan is not thoughtless.,fact
Kane is ancient.,fact
"If Kane is not ancient, then Kane is orange and Kane is not steep.",implication
"If there is at least one people who is thoughtless, then Shawn is not ancient and Trevor is orange.",implication
Cedric being steep implies that Cedric is thoughtless.,implication
"If all people are not orange, then Keene is not steep.",implication
"As long as someone is thankful, he is not steep and not orange.",implication
"If someone who is ancient is also not thoughtless, then he is not steep.",implication
All thankful people are not orange.,implication
"If there is someone who is not steep, then Trevor is not impressive.",implication
Someone who is thoughtless is always both impressive and orange.,implication
Lauren being not thankful implies that Sheridan is impressive.,implication
Cedric is not thankful.,negation
Shawn is not impressive.,negation
Trevor is not steep.,negation
Trevor is not orange.,negation
Lauren is not orange.,negation
Trevor is not impressive.,negation
Cedric is not orange.,negation
Shawn is not thoughtless.,negation
Sheridan is not orange.,negation
Kathryn is modern.,fact
Kathryn is tender.,fact
Kathryn is nutty.,fact
Aldis is not nutty.,fact
James is not hungry.,fact
Keene is not modern.,fact
Keene is not hungry.,fact
James is modern.,fact
James is not tender.,fact
Keene is not ugliest.,fact
Melville is not tender.,fact
Baldwin is tender.,fact
"If someone who is not hungry is also not tender, then he is ugliest.",implication
It can be concluded that Keene is tender once knowing that Melville is not nutty or James is careful.,implication
"If someone is both not modern and not nutty, then he is not careful.",implication
Melville being not hungry and James being nutty imply that Kirk is careful.,implication
"If there is someone who is either ugliest or not tender, then Baldwin is not nutty.",implication
"If there is someone who is not nutty, then Melville is not modern.",implication
"If someone is not tender or modern, then he is not hungry.",implication
Melville is not tender.,negation
Baldwin is not nutty.,negation
Keene is not hungry.,negation
Keene is not careful.,negation
James is not ugliest.,negation
Kathryn is not ugliest.,negation
James is not modern.,negation
Kathryn is not tender.,negation
Keene is not modern.,negation
Baldwin is not hungry.,negation
Kirk is not careful.,negation
Roswell is not terrible.,fact
Channing is not dangerous.,fact
Blanche is terrible.,fact
Alberto is willing.,fact
Roswell is not willing.,fact
Roland is not psychological.,fact
Blanche is willing.,fact
Roswell is cloudy.,fact
Roland is not cloudy.,fact
Blanche is large.,fact
Roswell is dangerous.,fact
Channing is not cloudy.,fact
"If there is someone who is cloudy, then Alberto is large.",implication
Roswell being not terrible implies that Roland is not cloudy and Alberto is not psychological.,implication
"If Roland is not willing and Alberto is terrible, then Channing is not dangerous.",implication
Chapman being not cloudy implies that Blanche is not willing and Blanche is not dangerous.,implication
"If there is someone who is psychological, then Channing is not terrible and Alberto is large.",implication
"If someone is not willing, then he is both not terrible and not dangerous.",implication
Chapman being terrible implies that Roswell is not psychological and Chapman is not willing.,implication
Channing is not dangerous.,negation
Channing is not willing.,negation
Carl is not large.,negation
Channing is not terrible.,negation
Blanche is not dangerous.,negation
Blanche is not willing.,negation
Chapman is not cloudy.,negation
Roswell is not large.,negation
Alberto is not cloudy.,negation
Chapman is not terrible.,negation
Roswell is not dangerous.,negation
Igor is cotton.,fact
Deborah is cotton.,fact
Igor is smiling.,fact
Glenn is consistent.,fact
Rosie is consistent.,fact
Igor is consistent.,fact
Garth is cotton.,fact
Garth is not wandering.,fact
Alfie is not smiling.,fact
Garth is not consistent.,fact
Glenn is obedient.,fact
Alfie is not cotton.,fact
"If someone is not obedient, then he is both smiling and wandering.",implication
"If someone is either cotton or not wandering, then he is smiling and not obedient.",implication
It can be concluded that Garth is not wandering once knowing that Deborah is obedient.,implication
"If Glenn is not cotton, then Deborah is not wandering.",implication
Someone who is obedient is always both wandering and obedient.,implication
All not obedient people are not wandering.,implication
"If there is someone who is not cotton, then Deborah is not obedient and Connell is not obedient.",implication
Someone who is both obedient and cotton is always wandering.,implication
Rosie is not wandering.,negation
Glenn is not consistent.,negation
Connell is not consistent.,negation
Connell is not cotton.,negation
Igor is not obedient.,negation
Glenn is not smiling.,negation
Deborah is not consistent.,negation
Deborah is not obedient.,negation
Garth is not cotton.,negation
Alfie is not consistent.,negation
Igor is not smiling.,negation
Shamus is quaint.,fact
Shamus is not entire.,fact
Halden is expensive.,fact
Lucille is not quaint.,fact
Joshua is grumpy.,fact
Halden is naughty.,fact
Matthew is naughty.,fact
Lucille is grumpy.,fact
Lucille is naughty.,fact
Shamus is not grumpy.,fact
Joshua is timid.,fact
Joe is not timid.,fact
Someone who is not naughty is always both not timid and not grumpy.,implication
"If Joshua is not expensive and Joe is quaint, then Lucille is naughty and Randolph is grumpy.",implication
Someone who is eithor not quaint or not expensive is always grumpy.,implication
"If there is someone who is either not naughty or not timid, then Halden is not quaint and Joshua is expensive.",implication
"As long as someone is not timid, he is not naughty and not grumpy.",implication
"If someone is not quaint, then he is both entire and not grumpy.",implication
"If Matthew is expensive or Randolph is entire, then Shamus is timid.",implication
Joshua is not entire.,negation
Lucille is not quaint.,negation
Randolph is not expensive.,negation
Shamus is not naughty.,negation
Halden is not quaint.,negation
Lucille is not naughty.,negation
Randolph is not quaint.,negation
Halden is not expensive.,negation
Halden is not naughty.,negation
Shamus is not quaint.,negation
Lucille is not entire.,negation
Benton is not nutty.,fact
Bruce is not elderly.,fact
Bruce is practical.,fact
Bruce is not famous.,fact
Benton is yellow.,fact
Alberto is not nutty.,fact
Alberto is not yellow.,fact
Bruce is not cooperative.,fact
Benton is practical.,fact
Eunice is yellow.,fact
Percival is not yellow.,fact
Brooke is practical.,fact
"If all people are elderly, then Benton is not cooperative and Brooke is not nutty.",implication
"If all people are famous or yellow, then Alberto is nutty.",implication
Someone who is not elderly is always both not cooperative and not famous.,implication
"If there is someone who is both famous and nutty, then Eunice is not cooperative.",implication
Someone who is yellow is always not practical.,implication
It can be concluded that Brooke is practical once knowing that Mark is famous or Alberto is nutty.,implication
All nutty people are famous.,implication
Eunice is not yellow.,negation
Benton is not practical.,negation
Bruce is not practical.,negation
Brooke is not practical.,negation
Brooke is not nutty.,negation
Brooke is not yellow.,negation
Bruce is not famous.,negation
Bruce is not elderly.,negation
Hector is not elegant.,fact
Lane is not inquisitive.,fact
Lane is lucky.,fact
Matthew is inquisitive.,fact
Matthew is not lucky.,fact
Bowen is elegant.,fact
Bruno is not lucky.,fact
Lane is elegant.,fact
Lane is not plain.,fact
Lane is not determined.,fact
Bruno is inquisitive.,fact
Alisa is inquisitive.,fact
Someone who is plain is always both not inquisitive and elegant.,implication
"If there is at least one people who is both not plain and not elegant, then Matthew is not inquisitive.",implication
"If there is nobody who is not not elegant, then Matthew is not inquisitive.",implication
It can be concluded that Alisa is inquisitive and Bruno is not plain once knowing that Alisa is elderly and Matthew is not lucky.,implication
"If there is at least one people who is not elegant or not lucky, then Matthew is elderly.",implication
Someone who is plain or not elegant is always not determined and inquisitive.,implication
"If someone is not inquisitive or he is determined, then he is not lucky.",implication
"If there is someone who is not determined, then Kianna is plain and Kianna is inquisitive.",implication
Matthew being not inquisitive or Lane being lucky implies that Bowen is elegant.,implication
It can be concluded that Matthew is elderly once knowing that Kianna is plain and Bruno is not determined.,implication
Lane is not determined.,negation
Kianna is not elderly.,negation
Kianna is not plain.,negation
Matthew is not elderly.,negation
Bruno is not elegant.,negation
Bowen is not elegant.,negation
Hector is not determined.,negation
Matthew is not elegant.,negation
Arlen is basic.,fact
Antonio is realistic.,fact
Chatwin is not realistic.,fact
Shelley is not careful.,fact
Antonio is not careful.,fact
Gresham is not basic.,fact
Jeremiah is not careful.,fact
Jeremiah is sane.,fact
Arlen is sane.,fact
Neville is careful.,fact
Chatwin is skinny.,fact
Antonio is not sane.,fact
Gresham being not realistic or Chatwin being basic implies that Shelley is not careful.,implication
It can be concluded that Shelley is not skinny and Chatwin is careful once knowing that Arlen is not unhappy.,implication
"If Gresham is basic, then Shelley is not skinny and Jeremiah is not realistic.",implication
"If everyone is realistic or not skinny, then Neville is sane.",implication
"If there is at least one people who is either not sane or not realistic, then Arlen is not unhappy and Antonio is skinny.",implication
Someone who is skinny or basic is always not sane and unhappy.,implication
Neville being basic implies that Chatwin is unhappy.,implication
"If there is at least one people who is skinny, then Shelley is not sane.",implication
Someone who is both not basic and not careful is always not sane.,implication
"If someone is unhappy, then he is both realistic and basic.",implication
Antonio is not unhappy.,negation
Jeremiah is not skinny.,negation
Chatwin is not skinny.,negation
Chatwin is not careful.,negation
Shelley is not realistic.,negation
Chatwin is not unhappy.,negation
Antonio is not sane.,negation
Arlen is not unhappy.,negation
Shelley is not sane.,negation
Chatwin is not realistic.,negation
Antonio is not careful.,negation
Roswell is good.,fact
Kerry is cold.,fact
Maggie is not logical.,fact
Kerry is not powerful.,fact
Bryant is powerful.,fact
Bryant is not good.,fact
Kerry is not logical.,fact
Kerry is inner.,fact
Bryant is not cute.,fact
Ramsey is not logical.,fact
Roy is good.,fact
Roswell is not cold.,fact
Ramsey being cute or Bryant being powerful implies that Heath is not cold.,implication
Someone who is eithor not cute or not cold is always not inner.,implication
"If someone is cold, then he is both cute and good.",implication
Roy being logical and Maggie being not powerful imply that Maggie is not cold.,implication
Kerry being not cold implies that Kerry is powerful and Heath is not logical.,implication
"If Roy is good, then Kerry is not cold.",implication
"If there is nobody who is not not cute, then Kerry is good and Heath is logical.",implication
"If there is at least one people who is not cute, then Heath is not cold and Maggie is not powerful.",implication
"If someone is good, then he is not logical.",implication
"If there is someone who is good, then Roy is not cute.",implication
Roy is not inner.,negation
Maggie is not powerful.,negation
Bryant is not cold.,negation
Kerry is not powerful.,negation
Kerry is not cute.,negation
Ramsey is not powerful.,negation
Roswell is not cute.,negation
Heath is not cold.,negation
Heath is not good.,negation
Kerry is not inner.,negation
Roswell is not good.,negation
Brent is not round.,fact
Hadwin is excited.,fact
Norris is not round.,fact
Jonathan is not legal.,fact
Hadley is legal.,fact
Culbert is excited.,fact
Brent is legal.,fact
Rodney is excited.,fact
Brent is delightful.,fact
Norris is legal.,fact
Rodney is diplomatic.,fact
Hadley is not round.,fact
"If Jonathan is round or Jonathan is delightful, then Culbert is not legal.",implication
Jonathan being round or Norris being delightful implies that Hadwin is not friendly.,implication
"If there is someone who is excited, then Rodney is not diplomatic and Hadwin is legal.",implication
"If someone is not excited or delightful, then he is not round.",implication
"If someone is diplomatic, then he is both friendly and not delightful.",implication
Someone who is not round is always both not friendly and not excited.,implication
Hadwin being not excited and Rodney being friendly imply that Rodney is round.,implication
"If someone is delightful, then he is legal.",implication
"If someone is friendly or not excited, then he is legal.",implication
"If there is someone who is not friendly, then Norris is delightful and Hadley is not excited.",implication
Norris is not delightful.,negation
Jonathan is not legal.,negation
Hadley is not excited.,negation
Culbert is not round.,negation
Jonathan is not delightful.,negation
Brent is not excited.,negation
Jonathan is not friendly.,negation
Hadley is not friendly.,negation
Rodney is not delightful.,negation
Norris is not round.,negation
Brent is not legal.,negation
Hadley is not diplomatic.,negation
Rodney is not legal.,negation
Norris is not friendly.,negation
Dave is aware.,fact
Calvert is not harsh.,fact
Dave is harsh.,fact
Dave is shiny.,fact
Kirby is not shiny.,fact
Jed is not ugly.,fact
Jed is not successful.,fact
Kirby is obedient.,fact
Jarvis is not harsh.,fact
Culbert is not ugly.,fact
Jed is shiny.,fact
Kirby is aware.,fact
Someone who is aware and harsh is always not obedient and successful.,implication
It can be concluded that Culbert is shiny once knowing that Calvert is aware or Jarvis is not ugly.,implication
"If someone is aware or he is not ugly, then he is not harsh.",implication
"If Kirby is harsh or Calvert is shiny, then Jarvis is not ugly.",implication
Someone who is both not aware and successful is always harsh.,implication
Someone who is not shiny is always successful.,implication
Someone who is both obedient and not shiny is always harsh.,implication
"If there is at least one people who is both harsh and aware, then Jarvis is not obedient.",implication
Kirby is not obedient.,negation
Amanda is not ugly.,negation
Kirby is not harsh.,negation
Dave is not successful.,negation
Jed is not shiny.,negation
Dave is not ugly.,negation
Kerwin is sane.,fact
Royce is versatile.,fact
Clive is not clear.,fact
Burton is not thankful.,fact
Carter is clear.,fact
Clive is not sane.,fact
Royce is not excited.,fact
Hubert is sane.,fact
Carter is not thankful.,fact
Burton is not dark.,fact
Kirby is sane.,fact
Burton is sane.,fact
"If there is at least one people who is either dark or excited, then Hubert is not sane and Kirby is clear.",implication
It can be concluded that Royce is versatile once knowing that Royce is excited.,implication
All dark people are excited.,implication
It can be concluded that Carter is clear once knowing that Clive is sane.,implication
"As long as someone is not thankful, he is not versatile and not sane.",implication
"If someone is not dark, then he is both versatile and not thankful.",implication
"If there is someone who is excited, then Clive is thankful.",implication
"If there is someone who is versatile, then Kerwin is dark.",implication
"If Kirby is not sane, then Hubert is not dark.",implication
Royce is not sane.,negation
Kirby is not thankful.,negation
Royce is not versatile.,negation
Kerwin is not thankful.,negation
Kirby is not sane.,negation
Royce is not excited.,negation
Kirby is not versatile.,negation
Kerwin is not clear.,negation
Carlton is eastern.,fact
Martin is few.,fact
Carolina is eastern.,fact
Hall is not long.,fact
Martin is long.,fact
Jeremiah is not traditional.,fact
Hall is not eastern.,fact
Ramsey is long.,fact
Michael is long.,fact
Carolina is not traditional.,fact
Jeremiah is few.,fact
Ramsey is plain.,fact
"If there is someone who is either not eastern or few, then Martin is traditional.",implication
"If someone is not plain or he is not traditional, then he is not long.",implication
"If someone is both not traditional and eastern, then he is not few.",implication
"If there is someone who is either not eastern or not traditional, then Martin is not pink.",implication
Someone who is not traditional is always both not pink and plain.,implication
"If someone is not pink or he is eastern, then he is not few.",implication
"If someone is not plain or traditional, then he is few.",implication
"If there is at least one people who is either not long or eastern, then Martin is traditional and Carolina is not few.",implication
"If Michael is not long and Jeremiah is not pink, then Hall is not plain.",implication
Jeremiah is not eastern.,negation
Carolina is not long.,negation
Hall is not long.,negation
Ramsey is not few.,negation
Hall is not pink.,negation
Jeremiah is not pink.,negation
Michael is not few.,negation
Carolina is not traditional.,negation
Carolina is not few.,negation
Antonio is hurt.,fact
Martin is administrative.,fact
Mark is hurt.,fact
Antonio is oak.,fact
Martin is not hurt.,fact
Mark is oak.,fact
Alisa is not happy.,fact
Leona is sensible.,fact
Antonio is not sensible.,fact
Leona is oak.,fact
Alberto is not oak.,fact
Leona is not ashamed.,fact
"If everyone is not happy, then Mark is administrative.",implication
"If there is someone who is not sensible, then Leona is not hurt.",implication
"If there is someone who is administrative, then Trent is oak.",implication
"If Alisa is happy and Mark is oak, then Trent is ashamed and Martin is not hurt.",implication
"As long as someone is not sensible, he is not happy and administrative.",implication
"If Martin is not oak, then Alberto is not sensible.",implication
Trent is not sensible.,negation
Trent is not administrative.,negation
Leona is not oak.,negation
Mark is not administrative.,negation
Alisa is not happy.,negation
Leona is not happy.,negation
Leona is not administrative.,negation
Mark is not sensible.,negation
Martin is not sensible.,negation
Leona is not sensible.,negation
Alberto is not happy.,negation
Martin is not happy.,negation
Antonio is not administrative.,negation
Alberto is not administrative.,negation
Alisa is not ashamed.,negation
Chalmers is wooden.,fact
Joshua is not encouraging.,fact
Chalmers is encouraging.,fact
Martin is not administrative.,fact
Miranda is administrative.,fact
Martin is not frightened.,fact
Leonard is not wooden.,fact
Lee is existing.,fact
Martin is encouraging.,fact
Trent is wooden.,fact
Chalmers is existing.,fact
Leonard is frightened.,fact
"If there is at least one people who is not wooden, then Miranda is not federal and Martin is not administrative.",implication
"If someone is either encouraging or frightened, then he is not wooden and existing.",implication
"If someone is frightened, then he is not wooden.",implication
"If someone who is not federal is also not encouraging, then he is not existing.",implication
